"age_young","skill_low","gender_male","take_online_course","pass_exam"
1,1,1,1,0
0,0,0,1,1
1,0,0,0,0
0,0,0,1,0
1,1,0,0,0
1,0,0,0,0
1,1,0,0,0
0,0,0,1,1
1,0,1,0,0
1,0,1,1,1
0,0,0,1,1
0,0,0,1,0
1,0,0,1,0
1,1,0,1,0
1,0,0,0,0
0,0,0,1,1
1,0,0,1,0
0,0,0,0,1
1,0,0,0,0
0,0,0,1,1
1,0,0,0,1
0,0,1,0,1
1,1,0,1,0
1,0,0,1,0
1,1,1,1,0
1,0,0,0,0
1,0,0,1,0
1,1,0,0,0
1,0,0,0,1
1,1,0,0,0
0,0,0,0,1
1,0,0,0,0
1,1,0,0,0
1,0,0,0,1
1,0,1,1,0
1,1,0,0,0
0,0,1,1,1
0,0,0,0,1
1,0,1,0,0
1,0,0,1,1
1,0,0,1,0
0,0,0,0,1
1,1,0,0,0
0,0,0,1,1
1,0,1,1,0
1,1,1,0,0
1,1,0,0,0
0,0,1,1,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
0,0,0,0,1
1,1,0,1,1
1,0,0,1,0
1,1,0,1,0
1,1,0,1,0
0,0,0,1,1
0,0,0,0,1
1,1,0,0,0
0,0,0,1,0
0,0,0,1,1
1,0,0,1,0
0,0,0,1,1
1,1,1,0,0
1,0,0,1,1
1,0,0,0,1
0,0,0,1,1
1,0,1,1,0
1,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,1
1,0,0,0,1
1,1,0,0,0
1,1,0,0,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
1,1,0,0,0
0,0,0,1,1
1,1,0,1,0
1,1,0,1,0
0,0,0,1,0
1,0,0,1,0
1,1,0,0,0
0,0,0,1,0
1,0,0,1,0
0,0,0,1,0
0,0,0,0,1
1,1,0,0,0
1,1,0,0,0
1,0,0,0,0
1,0,1,1,1
1,0,0,1,0
1,0,0,1,0
1,1,0,0,1
1,1,0,1,0
1,0,0,0,0
0,0,0,0,1
1,1,1,0,0
0,0,0,1,1
0,0,1,1,1
1,1,0,0,0
1,1,1,1,0
0,0,0,1,1
0,0,0,1,1
1,0,0,0,0
1,0,0,1,0
1,1,1,1,0
0,0,0,1,0
1,1,0,0,0
1,1,0,0,0
0,0,0,1,0
1,1,0,0,1
0,0,0,1,1
1,0,1,0,1
1,1,0,0,0
0,0,0,1,1
0,0,0,1,1
0,0,0,1,0
1,1,1,0,0
0,0,0,1,1
1,1,1,0,0
1,0,0,1,0
1,0,0,0,1
1,0,0,0,0
1,1,0,0,0
0,0,0,0,1
1,1,0,0,0
1,1,0,0,0
0,0,1,1,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,1,0
1,1,0,0,0
0,0,0,0,1
0,0,0,1,1
1,0,0,1,0
1,0,0,0,0
0,0,1,0,0
0,0,1,1,1
1,1,0,1,1
1,0,0,0,1
0,0,0,1,0
0,0,1,1,1
1,1,0,0,0
1,0,1,1,1
1,0,0,0,1
1,1,0,0,0
0,0,0,1,1
1,0,0,0,0
1,1,0,0,0
0,0,0,1,1
0,0,0,1,1
1,1,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,1
1,0,1,1,0
1,0,0,0,0
1,0,0,1,0
1,0,0,1,1
1,0,0,0,1
1,1,0,0,0
1,0,1,1,0
1,1,0,0,0
1,1,0,1,0
0,0,0,1,1
1,0,0,0,0
1,0,1,0,0
0,0,0,1,1
1,1,0,0,0
0,0,0,1,1
1,1,0,1,0
1,0,0,0,0
0,0,0,1,1
1,0,0,1,1
0,0,0,0,1
1,1,0,1,1
0,0,1,1,0
0,0,0,1,1
0,0,0,1,0
1,0,0,1,0
0,0,0,1,1
1,1,0,0,0
0,0,0,0,1
1,0,0,1,1
1,1,0,0,0
0,0,0,1,0
1,1,1,1,0
1,0,1,0,1
0,0,0,1,1
1,0,0,1,0
1,1,0,0,1
0,0,0,1,0
0,0,0,1,1
1,1,0,1,0
1,1,0,0,0
1,0,0,0,0
0,0,0,0,1
0,0,0,1,1
1,1,0,0,0
0,0,0,1,1
1,1,0,0,0
1,0,1,1,0
1,1,0,0,0
1,0,1,1,0
0,0,0,1,1
1,1,0,0,1
0,0,0,1,1
1,1,0,0,0
1,1,0,1,1
0,0,0,1,0
0,0,1,1,1
0,0,1,1,1
1,0,0,1,0
0,0,0,1,1
0,0,0,1,1
0,0,0,0,1
0,0,1,1,1
1,0,0,0,0
1,0,0,0,0
1,1,0,0,1
0,0,1,0,1
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
0,0,0,1,1
1,0,0,0,1
1,1,0,0,0
0,0,0,1,1
1,0,0,0,0
1,0,0,0,0
0,0,0,0,1
1,1,0,0,0
1,1,1,1,0
1,1,0,0,0
1,1,1,0,0
1,0,0,1,0
1,0,1,1,0
1,0,0,0,1
1,0,0,0,0
0,0,0,1,1
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,0,0,0,0
0,0,0,1,1
1,1,1,0,0
1,0,1,1,1
1,0,0,0,0
1,0,0,0,1
0,0,0,1,1
0,0,0,1,1
1,1,1,0,0
0,0,0,0,1
0,0,0,1,1
1,0,0,1,0
0,0,0,1,0
1,0,1,1,0
0,0,0,1,1
0,0,0,1,1
0,0,1,0,1
1,1,0,0,0
1,1,0,0,0
1,0,0,0,0
1,0,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
0,0,1,1,1
1,1,0,1,0
1,1,1,0,0
0,0,0,1,1
1,1,1,0,0
1,1,0,0,0
1,0,0,1,1
0,0,0,1,0
0,0,1,1,1
1,1,0,0,0
1,1,0,0,1
0,0,0,0,0
0,0,0,1,1
1,1,0,0,0
0,0,0,0,1
0,0,1,0,1
1,1,0,0,1
1,0,0,1,1
1,1,0,1,0
0,0,0,1,1
1,1,0,0,1
0,0,0,1,1
1,0,0,0,0
1,1,0,0,0
1,0,0,0,1
1,1,0,0,0
0,0,0,1,1
1,0,0,1,0
1,1,0,0,0
1,1,0,0,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,1
1,1,0,0,0
1,0,1,1,1
1,1,0,1,0
1,1,0,0,0
1,1,0,1,0
0,0,1,1,0
1,0,0,1,0
1,0,0,0,1
1,1,0,0,0
1,0,1,0,1
0,0,0,1,0
0,0,1,1,0
0,0,1,1,0
1,1,0,0,0
1,1,0,0,0
0,0,0,1,0
0,0,1,1,0
0,0,0,1,0
1,0,0,1,0
0,0,0,1,0
1,1,1,0,1
1,0,0,1,0
1,1,1,0,0
0,0,0,1,1
1,0,0,0,0
1,0,0,0,0
1,0,0,1,1
1,1,0,0,0
0,0,1,1,0
1,0,1,0,1
1,1,1,0,0
0,0,0,1,1
0,0,0,1,1
1,0,0,1,1
0,0,0,1,0
0,0,0,1,1
0,0,0,1,1
1,1,0,0,0
0,0,0,1,0
1,0,0,0,0
1,1,0,1,0
0,0,0,1,1
1,1,0,0,0
1,1,1,1,0
1,1,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,1,1,1
0,0,1,1,0
1,1,0,0,0
1,0,1,1,0
1,1,0,1,1
0,0,0,1,1
1,0,0,0,0
0,0,1,0,1
1,1,0,0,0
0,0,0,1,1
1,1,0,0,0
0,0,0,0,1
1,1,0,0,0
1,1,0,0,0
0,0,0,1,1
1,0,0,1,0
0,0,0,1,1
0,0,0,1,1
1,0,0,1,0
0,0,0,1,1
0,0,0,1,1
0,0,0,1,0
1,1,0,0,0
1,0,0,1,0
1,1,0,1,0
1,1,0,0,0
1,0,0,1,0
1,0,1,0,0
0,0,0,1,1
1,1,0,0,1
0,0,0,1,1
1,0,0,0,1
1,0,0,1,1
1,1,1,0,0
0,0,0,1,1
1,0,0,1,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,1,0,0
0,0,0,0,0
1,1,0,0,0
1,1,0,1,0
1,1,0,1,1
1,1,0,0,0
0,0,1,1,1
1,1,0,0,0
1,1,0,0,0
1,1,0,0,1
1,0,0,1,1
1,0,0,0,0
1,1,0,0,1
0,0,0,0,1
0,0,0,1,1
0,0,1,1,0
1,1,0,0,0
1,0,0,1,0
1,0,1,0,1
1,1,0,1,1
0,0,0,1,0
0,0,0,1,1
1,0,0,1,0
1,1,0,1,0
1,1,1,0,0
1,0,1,0,0
1,0,0,0,0
0,0,1,1,1
1,0,0,0,1
1,0,0,1,0
1,1,0,0,1
1,0,0,1,0
1,0,0,1,0
1,1,0,0,0
1,0,0,1,1
1,0,0,1,1
1,1,0,0,1
1,0,0,1,1
1,0,0,0,0
1,1,1,0,0
1,1,0,1,0
1,1,0,0,0
0,0,0,1,1
1,1,0,0,0
1,1,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,1
1,1,0,0,0
1,1,0,1,0
1,0,0,0,0
0,0,0,1,0
1,0,1,1,0
1,1,0,1,0
1,0,0,0,0
1,0,0,1,0
1,0,0,0,0
1,0,0,1,0
1,1,0,0,0
1,0,0,1,1
0,0,1,1,0
0,0,0,1,0
1,0,0,1,0
1,1,0,0,0
0,0,0,1,0
1,1,0,0,0
0,0,0,1,1
0,0,0,1,0
0,0,0,1,1
0,0,0,1,1
0,0,0,1,0
0,0,0,1,1
1,1,0,0,0
0,0,1,1,0
1,0,0,0,0
0,0,0,1,0
1,1,0,0,0
0,0,0,1,1
1,1,0,0,0
1,0,0,0,0
0,0,0,0,1
0,0,0,0,1
1,1,0,0,0
1,0,1,1,0
1,0,0,1,0
0,0,0,1,1
1,1,0,0,0
1,1,0,0,0
1,1,1,1,0
1,0,0,1,1
1,0,0,0,0
0,0,0,1,1
0,0,0,1,0
0,0,0,1,1
1,1,0,0,0
1,0,0,1,0
0,0,0,1,1
0,0,0,0,1
0,0,0,0,1
1,0,0,1,0
1,1,0,0,0
0,0,0,1,1
0,0,1,1,1
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
0,0,0,1,0
0,0,0,1,1
0,0,1,1,1
0,0,0,0,1
1,0,0,0,1
0,0,0,0,1
1,0,1,1,0
0,0,0,0,1
0,0,0,1,1
1,0,0,0,1
1,0,0,0,0
1,0,1,1,0
0,0,0,1,0
1,0,0,0,0
1,1,0,0,0
1,0,0,1,0
1,0,0,1,1
1,1,1,0,0
1,1,0,0,0
1,0,0,1,0
0,0,0,1,1
1,0,0,0,0
0,0,0,1,0
1,1,0,0,0
1,1,0,0,0
1,0,1,0,0
1,0,1,0,0
0,0,1,1,0
0,0,1,0,1
1,1,1,0,0
1,0,0,0,1
1,0,0,1,0
0,0,0,1,1
1,0,1,1,0
0,0,0,0,1
1,1,0,0,1
1,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
1,1,0,0,0
1,0,0,1,0
1,1,0,0,0
1,1,1,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
0,0,0,1,1
1,1,0,0,0
0,0,1,1,1
0,0,1,0,1
0,0,0,0,1
1,0,0,0,0
1,1,0,0,0
1,0,0,1,0
1,1,0,0,0
1,1,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,0
0,0,0,0,1
1,0,1,1,0
0,0,0,1,0
0,0,0,1,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,1,0,0,0
1,0,0,1,0
1,0,0,1,0
1,1,0,0,0
1,1,0,0,0
0,0,0,1,0
1,1,0,0,1
1,0,1,1,0
1,1,0,0,0
1,0,0,0,0
1,1,0,0,0
1,1,0,0,0
1,0,0,0,1
1,0,0,0,1
1,1,0,0,0
0,0,0,1,1
0,0,0,1,1
1,1,0,0,1
0,0,1,1,1
1,0,0,0,1
1,0,0,1,0
0,0,1,1,1
1,1,0,0,0
1,0,0,1,0
0,0,0,1,1
1,0,1,0,1
1,0,1,1,0
1,0,1,0,1
1,0,0,1,1
1,0,1,1,1
1,0,0,1,0
1,1,1,0,1
1,1,0,0,0
1,1,0,0,0
1,1,0,1,1
1,1,1,1,1
0,0,0,0,1
1,0,0,0,0
1,0,0,1,0
0,0,0,1,1
1,0,0,1,0
1,1,0,0,0
1,0,0,1,0
0,0,0,1,1
1,1,0,0,0
0,0,1,1,0
0,0,1,1,0
1,1,0,0,0
1,1,0,1,0
0,0,0,1,1
1,0,0,1,0
0,0,0,0,1
1,0,0,0,0
1,0,0,1,0
1,1,0,0,0
1,0,0,1,0
1,1,0,1,0
0,0,0,1,1
1,0,0,0,0
1,0,0,0,0
1,1,0,0,0
0,0,0,1,0
0,0,1,1,1
0,0,1,1,1
1,1,0,0,0
0,0,0,1,1
1,1,0,1,0
1,1,0,1,0
0,0,0,1,0
1,1,1,0,0
0,0,0,1,0
1,1,0,0,0
1,1,0,0,0
1,0,1,0,1
0,0,0,0,1
0,0,1,1,1
1,0,0,0,0
0,0,1,1,0
1,0,1,1,1
1,0,0,1,0
0,0,0,1,1
0,0,1,0,1
1,0,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,1
1,0,0,0,1
1,0,0,0,0
0,0,1,0,1
0,0,0,1,1
1,0,0,1,0
1,1,0,0,1
1,1,0,0,0
0,0,0,1,1
1,0,0,0,1
1,1,0,0,0
1,1,1,0,0
0,0,1,1,1
0,0,1,1,0
0,0,0,1,1
1,1,1,1,1
0,0,1,1,1
1,1,0,0,0
1,0,1,0,0
1,1,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,1
0,0,0,1,0
0,0,0,1,1
0,0,0,1,1
1,1,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
1,1,0,0,1
0,0,0,1,1
0,0,0,1,1
1,0,1,0,0
1,0,1,1,0
1,0,1,1,0
1,1,0,1,1
1,1,0,0,0
1,1,1,1,0
1,1,1,0,0
1,0,0,0,0
0,0,0,1,1
0,0,0,1,0
1,1,1,0,0
0,0,0,1,1
1,0,0,1,1
0,0,0,1,1
1,1,1,0,0
1,0,1,1,0
1,1,0,0,0
0,0,0,0,1
1,1,0,1,1
0,0,0,1,1
1,0,0,0,1
1,0,0,0,0
1,1,0,0,0
1,0,1,0,0
0,0,0,1,0
1,0,1,0,0
1,1,0,1,0
1,0,0,0,0
1,1,1,0,0
1,0,1,1,0
0,0,0,1,1
1,1,0,1,0
1,1,0,1,0
1,0,0,0,0
1,0,0,1,0
0,0,1,1,1
1,1,0,0,0
1,0,0,0,1
1,0,0,1,0
1,0,0,0,0
1,1,1,0,0
1,1,1,0,0
1,0,0,0,1
1,1,1,0,1
0,0,0,1,1
0,0,0,0,1
1,0,0,0,1
0,0,0,1,0
0,0,0,1,1
1,0,0,0,0
1,1,0,0,0
0,0,0,0,0
1,0,0,1,0
0,0,0,1,0
1,0,0,1,0
0,0,0,1,1
0,0,1,1,1
1,1,1,0,0
1,0,0,0,1
1,0,0,1,0
0,0,1,1,0
1,0,0,0,1
0,0,0,1,1
1,1,0,0,0
1,1,0,0,0
1,0,1,1,1
1,0,0,1,0
0,0,0,1,1
1,0,0,1,0
1,1,0,0,0
1,0,0,0,0
1,0,1,0,0
0,0,0,1,1
0,0,0,1,1
1,1,0,0,0
1,0,0,1,0
1,0,0,1,0
1,1,0,0,0
1,1,1,0,0
1,1,0,0,0
1,0,0,0,1
0,0,1,0,1
1,0,0,0,0
1,1,0,0,0
1,0,0,0,0
0,0,1,1,1
1,1,0,0,0
1,1,0,0,0
1,0,0,1,0
1,0,0,0,1
1,1,0,0,0
0,0,0,1,1
1,1,0,0,0
0,0,0,1,1
1,0,0,0,1
1,0,1,0,0
1,0,0,1,1
1,1,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,1,0
1,1,0,0,0
0,0,0,0,1
1,1,0,1,1
0,0,0,1,1
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
1,1,0,0,0
1,1,0,0,0
0,0,1,0,1
1,0,0,1,0
0,0,0,1,0
0,0,0,1,0
1,0,0,1,0
1,0,1,1,0
1,0,0,1,1
1,1,0,0,1
1,0,0,1,0
1,1,0,0,0
1,1,0,0,0
0,0,0,1,1
1,0,0,1,1
1,0,0,0,0
0,0,0,1,1
1,1,0,0,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,1
0,0,0,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,1
0,0,0,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,0
0,0,1,0,0
0,0,0,0,0
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,1,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,1,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,1,1,0
0,0,1,1,0
0,0,1,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,1,1,0
0,0,0,1,0
0,0,1,1,0
